172,971|239,92
186,4799|184,6858
189,9683|239,3322
213,4157|177,8746
223,7089|136,6626
129,1696|108,1703
231,3029|178,6432
234,5365|238,4086
249,3492|120,8701
249,3375|120,5133
241,3912|160,2654
264,5928|218,0541
277,9941|101,5374
276,8142|117,2108
281,2942|183,5653
291,3546|265,2602
286,7867|342,8994
307,9263|90,17551
313,2659|93,9447
314,6423|137,9911
326,7926|223,2231
326,4456|297,7094
341,6831|78,62292
350,9619|102,5317
359,9506|176,409
368,0612|271,6465
377,7373|79,60339
384,5584|86,00479
393,3362|133,1384
398,3022|226,6368
438,7927|360,2454
415,6415|82,6037
422,6812|103,7201
430,1414|180,6132
428,1794|264,8322
448,8821|94,45889
452,9477|101,5464
465,9469|152,1892
463,2162|228,0156
472,6499|309,4074
477,4635|108,6166
497,6884|132,6162
499,1229|190,6628
495,1105|258,871
501,7439|345,5543
502,1591|133,4005
518,6901|187,1526
515,1852|283,4845
528,3303|174,8026
527,2936|207,4724
530,9958|242,9425
534,0288|297,1833
538,2777|279,1031
542,1425|241,7775
534,2786|319,3143
